ticker,valid_days,mean_score,median_score,top_decile_days,top_decile_rate,mean_return_12_1,median_return_12_1
EVRG,3771,0.46610993977296855,0.4668192219679634,195,0.05171042163882259,0.1190523959305074,0.1184258393507455
EW,3771,0.5357854884937437,0.5595744680851064,670,0.17767170511800584,0.17642565742670155,0.1775731267361722
EXC,3771,0.3967237108659177,0.3291925465838509,209,0.05542296473084063,0.0737838581281475,0.0616959867704651
EXE,976,0.60870790839259,0.669014768752429,279,0.2858606557377049,0.2663574508930855,0.18863068869204708
EXPD,3771,0.4198381881909303,0.40552016985138,29,0.0076902678334659245,0.09441701241610169,0.0851639424831756
EXPE,3771,0.4922156995219649,0.4948875255623722,451,0.11959692389286661,0.16942087664423205,0.1318071734436299
EXR,3771,0.5905847288632008,0.6341463414634146,804,0.21320604614160701,0.21764828314044338,0.2208501011500689
F,3771,0.33935741130766467,0.2402745995423341,324,0.08591885441527446,0.0769786024436142,-0.0035260159952986
FANG,3070,0.5433514603467989,0.5943204868154158,802,0.26123778501628664,0.2812678331003148,0.16377067493393266
FAST,3771,0.5111993449588413,0.5415821501014199,242,0.06417395916202599,0.16449759636756053,0.1521854586838258
FCX,3771,0.3913808580919754,0.2911646586345381,481,0.1275523733757624,0.1456901703941708,0.0065186639117438
FDS,3771,0.48511768711026665,0.4730679156908665,138,0.03659506762132061,0.13170247540053207,0.1125952564024861
FDX,3771,0.43038233308260604,0.3958810068649885,226,0.059931052771148234,0.11649551251292226,0.1056756514073011
FE,3771,0.40656590929677144,0.4087912087912088,72,0.01909307875894988,0.06326948253589429,0.0541749763553967
FFIV,3771,0.44804377365083026,0.4101010101010101,430,0.11402810925483957,0.12636088039852697,0.0849260537837059
FICO,3771,0.6761639636547617,0.7764227642276422,1349,0.3577300450808804,0.33445678354214975,0.2863985561470796
FIS,3771,0.4761841857663114,0.5364238410596026,12,0.0031821797931583136,0.10854040746226198,0.1504134519077491
FISV,3770,0.5854574448937642,0.626888568099851,147,0.0389920424403183,0.18462441608488753,0.2124309746924179
FITB,3771,0.4613472924521241,0.4170212765957446,292,0.07743304163351895,0.14618581947290962,0.0864786927975307
FIX,3771,0.6121269629083125,0.6766595289079229,1181,0.31317952797666404,0.3340902836645763,0.2484368134718551
FLEX,3771,0.5251623550267037,0.5476718403547672,446,0.11827101564571732,0.18830721033472161,0.1771740393867427
FOX,1459,0.4418776183313397,0.383367139959432,139,0.09527073337902674,0.11351204635400083,0.0136817673803899
FOXA,1460,0.4617368937022029,0.40973630831643,142,0.09726027397260274,0.1267442816326539,0.0232612939485987
FRT,3771,0.4034290985767373,0.393574297188755,19,0.00503845133916733,0.06856806738463714,0.0742733462070068
FSLR,3771,0.45197239360755787,0.40169133192389,786,0.20843277645186953,0.18231028494487395,0.0977250665341402
FTNT,3771,0.6140884525546482,0.681917211328976,1169,0.3099973481835057,0.3373737382635297,0.2414307293950326
FTV,2135,0.4119424224472484,0.4202898550724637,0,0.0,0.06577367995355315,0.0640107934605673
GD,3771,0.48046318064322807,0.4320486815415821,132,0.035003977724741446,0.1357863931085588,0.1042784732306503
GDDY,2453,0.5657142185291064,0.6056034482758621,463,0.18874847125968203,0.2201081254470413,0.1494481319544289
GE,3771,0.4606347231677854,0.3894523326572008,728,0.19305224078493768,0.16258682877495143,0.1154354457252821
GEHC,510,0.3427279325571856,0.3077692245030954,0,0.0,0.03451744422805369,0.0163738427603048
GEN,3771,0.4573831471883638,0.4451754385964912,397,0.1052771148236542,0.13430512422930307,0.1123208513171236
GEV,190,0.9853831719975317,0.9919678714859438,190,1.0,1.4138377745669277,1.3448989657928225
GILD,3771,0.4979595420798897,0.4531590413943355,735,0.1949085123309467,0.17325602809551108,0.0974802616218502
GIS,3771,0.39616805545323514,0.3414634146341463,128,0.03394325112702201,0.06897220694248214,0.0834408924234457
GL,3771,0.49364645793442763,0.4789356984478936,83,0.022010076902678335,0.1339213886550014,0.1174947711016556
GLW,3771,0.4558351402659605,0.4189189189189189,246,0.06523468575974542,0.1328425460442034,0.0866137140386407
GM,3549,0.4030252662185898,0.3779697624190065,200,0.05635390250774866,0.10512717611551269,0.0653195663679238
GNRC,3744,0.5687122389141481,0.6424887169568021,1117,0.2983440170940171,0.3042973851804257,0.2300583395017913
GOOG,3771,0.566417938507448,0.5926724137931034,289,0.07663749668522939,0.20421098255302636,0.2021018965431109
GOOGL,3771,0.5646637626649795,0.5887096774193549,283,0.07504640678865022,0.20307610798878192,0.19953201257077
GPC,3771,0.45298420743851336,0.4461206896551724,154,0.04083797401219835,0.11273782426539214,0.1061261351062814
GPN,3771,0.47736013122478294,0.5021097046413502,495,0.13126491646778043,0.12462659126558294,0.1170865613133032
GRMN,3771,0.5494967336148632,0.6300211416490487,553,0.14664545213471228,0.19394593457441298,0.2126535694591678
GS,3771,0.4739281566359486,0.4407158836689038,264,0.07000795544948289,0.1513308654914325,0.0936608629858786
GWW,3771,0.5221171230795683,0.5485232067510548,478,0.12675682842747282,0.18698866864705152,0.1739035736155587
HAL,3771,0.39139303542433357,0.2570850202429149,511,0.13550782285865817,0.07445530319145532,-0.0086819131473889
HAS,3771,0.4171130051560851,0.3964757709251101,185,0.049058605144524,0.08810317466012073,0.1129169037823947
HBAN,3771,0.4660542454072649,0.4864253393665158,26,0.006894722885176346,0.12882426945920664,0.1267828527478101
HCA,3473,0.602840537238758,0.6044624746450304,740,0.21307227181111432,0.25113278852197257,0.1903465702899762
HD,3771,0.5898453331358894,0.5610766045548654,344,0.09122248740387165,0.2055145425913943,0.2017710723198853
HIG,3771,0.5101983972851,0.5426829268292683,138,0.03659506762132061,0.1573234239380628,0.1387616768378781
HII,3465,0.5617426991838941,0.5723684210526315,491,0.1417027417027417,0.19041539378571373,0.1815433846852641
HLT,2778,0.5760455704687487,0.633758593485856,28,0.010079193664506839,0.1805996841614039,0.19358244393080998
HON,3771,0.5032785303200608,0.4976744186046511,0,0.0,0.14066563595281933,0.1278778832399469
HOOD,859,0.6560409686924681,0.9352226720647774,439,0.5110593713620489,0.9506676375339759,0.6963309001114406
HPE,2313,0.4932243595536857,0.5137420718816068,115,0.04971897968006917,0.13557487706749352,0.1074232216316499
HPQ,3771,0.4376279302384193,0.4462474645030426,267,0.07080350039777247,0.09343923054753005,0.0438114389678834
HRL,3771,0.4488749443099583,0.4630021141649049,196,0.05197560328825245,0.09933765328421434,0.092663928656951
HSIC,3771,0.42021690502617415,0.4288659793814433,1,0.00026518164942985947,0.08275319664500833,0.0851793949211559
HST,3771,0.3754664055788907,0.350210970464135,27,0.007159904534606206,0.06041467111743058,0.0635100336938716
HSY,3771,0.47084615042342426,0.4417670682730923,287,0.07610713338636967,0.12316859574074053,0.1253516332626589
HUBB,3771,0.5384356008869408,0.540084388185654,229,0.060726597719437815,0.17976467993815332,0.1601156513324271
HUM,3771,0.5187793044120024,0.5771971496437055,559,0.14823654203129144,0.14765854093628694,0.1668050042294722
HWM,2051,0.6469957518077135,0.8032454361054767,593,0.28912725499756214,0.3576034987369925,0.2448804209453234
IBKR,3771,0.535299543429954,0.5279503105590062,771,0.20445505171042164,0.2334185903523821,0.1356208650706722
IBM,3771,0.4160457493261695,0.3410526315789474,117,0.031026252983293555,0.09567925515606444,0.0536012810185386
ICE,3771,0.5190732638969598,0.5502008032128514,16,0.0042429063908777515,0.15329207514972593,0.1551774227559954
IDXX,3771,0.5888378108884325,0.6374407582938388,547,0.14505436223813312,0.22865860010312325,0.2044101207995852
IEX,3771,0.5020253810158636,0.5160550458715596,43,0.011402810925483956,0.14129522323523508,0.1273018198626549
IFF,3771,0.40812692413801316,0.3879668049792531,5,0.0013259082471492973,0.07159927788689782,0.0872994501788699
INCY,3771,0.48113039345266684,0.4978723404255319,669,0.17740652346857597,0.18971846408201484,0.0957767331951584
INTC,3771,0.4122822476646849,0.3783783783783784,357,0.09466984884645982,0.07279238111721736,0.0769532413270164
INTU,3771,0.6048777062347684,0.6295503211991434,310,0.08220631132325643,0.22038435621158173,0.2159846057992909
INVH,1989,0.43845236940060983,0.3847780126849894,37,0.01860231271995978,0.08192724550725655,0.037513287842614
IP,3771,0.43992270923532617,0.4084507042253521,124,0.03288252452930257,0.11602421981758856,0.0892659585277717
IQV,2929,0.5188429839542054,0.5154639175257731,76,0.025947422328439742,0.1370651965649797,0.1573538887617596
IR,1919,0.5670100447218884,0.6105476673427992,76,0.039603960396039604,0.18739791143200515,0.1998124491441626
IRM,3771,0.5347769163238051,0.5655913978494623,521,0.13815963935295678,0.18844082553728608,0.131113719383159
ISRG,3771,0.5811541939523143,0.6471816283924844,740,0.196234420578096,0.21290862695703636,0.2290492778950483
IT,3771,0.5802839758934202,0.599128540305011,284,0.07531158843808008,0.21117507778286906,0.1890112915554236
ITW,3771,0.5098455456102438,0.5,51,0.013524264120922832,0.14519380812362725,0.1507082979641176
IVZ,3771,0.36677906486474515,0.3161290322580645,156,0.04136833731105807,0.09033648722075391,0.0387905260455967
J,3771,0.45586754341252866,0.4746450304259635,45,0.011933174224343675,0.11513866070319981,0.1030869690194646
JBHT,3771,0.46803620210767444,0.4688172043010752,6,0.0015910898965791568,0.11973112603593844,0.1127811918938719
JBL,3771,0.5360210755280327,0.5638766519823789,642,0.17024661893396978,0.21594974977210105,0.115337421090832
JCI,3771,0.5071326577645969,0.540084388185654,165,0.04375497215592681,0.1636233061014288,0.1483588257461834
JKHY,3771,0.525343357916072,0.5525727069351231,125,0.03314770617873243,0.14899891344896843,0.1507582038929986
JNJ,3771,0.4328071070938674,0.423963133640553,5,0.0013259082471492973,0.09655752505181145,0.0940654721211529
JPM,3771,0.5326044022226976,0.547568710359408,27,0.007159904534606206,0.17678030168947179,0.1697132982175344
KDP,3771,0.4963539069370978,0.4618473895582329,403,0.10686820472023335,0.15174157222769455,0.1175045442582434
KEY,3771,0.4477251858361776,0.429193899782135,199,0.05277114823654203,0.1235642396103773,0.0931375213739671
KEYS,2564,0.5594752658483566,0.5633412257922161,312,0.12168486739469579,0.18384281536811548,0.1497871448602422
