date,valid_count,positive_count,negative_count,mean_tsm_return_12_1,median_tsm_return_12_1,cross_sectional_std_tsm_return_12_1,positive_breadth,negative_breadth
2019-08-14,476,346,130,0.11996767185304205,0.127304967169612,0.22424133882812153,0.726890756302521,0.27310924369747897
2019-08-15,476,337,139,0.10447035602023934,0.11206402893603426,0.22506734013269716,0.707983193277311,0.2920168067226891
2019-08-16,476,342,134,0.11530738591812328,0.1190134611830304,0.22479920062334455,0.7184873949579832,0.2815126050420168
2019-08-19,476,330,146,0.09933878012903959,0.10556893310702314,0.21746370168855772,0.6932773109243697,0.3067226890756303
2019-08-20,476,328,148,0.09563523334441991,0.09744354409465389,0.2178769124110932,0.6890756302521008,0.31092436974789917
2019-08-21,476,336,140,0.09965041812568408,0.1010192039573778,0.2150235821163851,0.7058823529411765,0.29411764705882354
2019-08-22,476,338,138,0.10365507218833647,0.09906638567242895,0.21557371054442578,0.7100840336134454,0.28991596638655465
2019-08-23,476,335,141,0.09960749975286012,0.09923144602729181,0.21969596843908226,0.7037815126050421,0.296218487394958
2019-08-26,476,339,137,0.1067010661830866,0.11070865284012629,0.21884855515763127,0.7121848739495799,0.28781512605042014
2019-08-27,476,336,140,0.09647121386773046,0.10177933828956945,0.21468352953849215,0.7058823529411765,0.29411764705882354
2019-08-28,476,324,152,0.09005512478077977,0.09300094583655891,0.2125946370319032,0.680672268907563,0.31932773109243695
2019-08-29,476,315,161,0.07843836834723603,0.0828293960091468,0.20973598939473265,0.6617647058823529,0.3382352941176471
2019-08-30,476,292,184,0.06456010947613917,0.06401571773283349,0.21486894408748025,0.6134453781512605,0.3865546218487395
2019-09-03,476,290,186,0.06186347714414707,0.0646829174723595,0.21649332617321257,0.6092436974789915,0.3907563025210084
2019-09-04,476,266,210,0.03017907640827723,0.041034771216950344,0.2121052356202461,0.5588235294117647,0.4411764705882353
2019-09-05,476,282,194,0.044762416282220205,0.046691083403417696,0.2178581798828177,0.592436974789916,0.40756302521008403
2019-09-06,476,274,202,0.048274147184641875,0.041042204431777154,0.2221722638583627,0.5756302521008403,0.42436974789915966
2019-09-09,476,299,177,0.07059368565951339,0.07416257933124185,0.22500689582704073,0.6281512605042017,0.37184873949579833
2019-09-10,476,296,180,0.06681208986883666,0.0707794303767621,0.22919950838354397,0.6218487394957983,0.37815126050420167
2019-09-11,476,276,200,0.04892665581635601,0.05433691918549685,0.2274236000105018,0.5798319327731093,0.42016806722689076
2019-09-12,476,292,184,0.06178983290570372,0.07053142169518185,0.2286383142167794,0.6134453781512605,0.3865546218487395
2019-09-13,476,269,207,0.030633861736009523,0.04095615292203255,0.22707352766545832,0.5651260504201681,0.43487394957983194
2019-09-16,476,264,212,0.02892003049296667,0.0344857534389264,0.23211417292454486,0.5546218487394958,0.44537815126050423
2019-09-17,476,276,200,0.043700397432875154,0.047570484417422745,0.23305106595790231,0.5798319327731093,0.42016806722689076
2019-09-18,476,289,187,0.0596936386051636,0.0575673513175113,0.23497222394027806,0.6071428571428571,0.39285714285714285
2019-09-19,476,280,196,0.04812936133890581,0.04338371918183355,0.23452496898290337,0.5882352941176471,0.4117647058823529
2019-09-20,476,285,191,0.05948941772187025,0.0557616022419381,0.24206806703508627,0.5987394957983193,0.4012605042016807
2019-09-23,476,281,195,0.05318186315323354,0.054569400476223995,0.242833027640646,0.5903361344537815,0.4096638655462185
2019-09-24,476,254,222,0.026857996246877368,0.0260282996456253,0.2405551702978689,0.5336134453781513,0.46638655462184875
2019-09-25,476,265,211,0.04338807047707896,0.04019897542365265,0.2468930569480748,0.5567226890756303,0.4432773109243697
2019-09-26,476,262,214,0.04149309214173704,0.04247403306842505,0.2501117943122043,0.5504201680672269,0.4495798319327731
2019-09-27,476,272,204,0.053285926899477656,0.053824105505819356,0.2500379914728253,0.5714285714285714,0.42857142857142855
2019-09-30,476,283,193,0.06562171623766987,0.0644926712086829,0.2499544907281782,0.5945378151260504,0.4054621848739496
2019-10-01,476,286,190,0.06450152812828518,0.0588719034692161,0.24598008656824327,0.6008403361344538,0.39915966386554624
2019-10-02,476,273,203,0.05968834746017133,0.0546662374609654,0.25342452847873026,0.5735294117647058,0.4264705882352941
2019-10-03,476,286,190,0.07252038907221692,0.0703095057348226,0.2554451277684084,0.6008403361344538,0.39915966386554624
2019-10-04,476,300,176,0.0864094445758264,0.0919468912867511,0.2526779335314951,0.6302521008403361,0.3697478991596639
2019-10-07,476,305,171,0.09905491481127186,0.0994569479957495,0.2554424364054547,0.6407563025210085,0.3592436974789916
2019-10-08,476,316,160,0.10192966367091137,0.1145720523321832,0.24090626476041901,0.6638655462184874,0.33613445378151263
2019-10-09,476,325,151,0.1015839179692206,0.11676091261707595,0.22623565470669046,0.6827731092436975,0.3172268907563025
2019-10-10,476,335,141,0.11480817337853526,0.12815021137706115,0.2270206365008963,0.7037815126050421,0.296218487394958
2019-10-11,476,355,121,0.15142881461112237,0.16312377255294086,0.23739524815175925,0.7457983193277311,0.2542016806722689
2019-10-14,476,371,105,0.1742354854089748,0.18386447737852196,0.2354024642057976,0.7794117647058824,0.22058823529411764
2019-10-15,476,365,111,0.16231027637324838,0.16502290403652042,0.22916336783214253,0.7668067226890757,0.23319327731092437
2019-10-16,476,365,111,0.16840205180471554,0.1722864710054302,0.2384050889663898,0.7668067226890757,0.23319327731092437
2019-10-17,476,346,130,0.1426685964573577,0.1522120868870409,0.2326255892690952,0.726890756302521,0.27310924369747897
2019-10-18,476,347,129,0.14342496140313546,0.1524505932513221,0.2341994446063037,0.7289915966386554,0.2710084033613445
2019-10-21,476,354,122,0.15389934585786857,0.15898156700625404,0.23496701276713008,0.7436974789915967,0.25630252100840334
2019-10-22,476,361,115,0.15821983050553406,0.15541806075688208,0.2367700021935898,0.7584033613445378,0.2415966386554622
2019-10-23,476,362,114,0.15556241224108744,0.1594015851297071,0.23760396302546857,0.7605042016806722,0.23949579831932774
2019-10-24,476,368,108,0.16988829491361096,0.1738053518217329,0.2364214127096245,0.773109243697479,0.226890756302521
2019-10-25,476,389,87,0.2020066977992273,0.20514495567962804,0.24435229078593976,0.8172268907563025,0.18277310924369747
2019-10-28,476,380,96,0.17760814387200016,0.18304941610778055,0.2330922015504371,0.7983193277310925,0.20168067226890757
2019-10-29,476,387,89,0.2015035255858193,0.21012532318159,0.24030485826096684,0.8130252100840336,0.1869747899159664
2019-10-30,476,378,97,0.18855271909392898,0.1950800365757983,0.24253007077497526,0.7941176470588235,0.20378151260504201
2019-10-31,476,352,124,0.1451868118990435,0.1509869571721743,0.23186803988068214,0.7394957983193278,0.2605042016806723
2019-11-01,476,350,126,0.14244103853839726,0.14357638369699322,0.23237481352714806,0.7352941176470589,0.2647058823529412
2019-11-04,476,347,129,0.1387445259763579,0.14138665607006645,0.23203802154940162,0.7289915966386554,0.2710084033613445
2019-11-05,476,347,129,0.13680201185207738,0.14183111605483995,0.23084850025945391,0.7289915966386554,0.2710084033613445
2019-11-06,476,334,142,0.11200381892863755,0.11304986837207734,0.23079298198747963,0.7016806722689075,0.29831932773109243
2019-11-07,476,331,144,0.11437958007707491,0.1142574660104988,0.23313048766193506,0.6953781512605042,0.3025210084033613
2019-11-08,476,321,155,0.10142635652448999,0.10063378387166305,0.2292503200113845,0.6743697478991597,0.32563025210084034
2019-11-11,476,339,137,0.11752365054047184,0.1190397184752388,0.22586241241682586,0.7121848739495799,0.28781512605042014
2019-11-12,476,344,132,0.12462004570308713,0.12830258110715564,0.22603240582289016,0.7226890756302521,0.2773109243697479
2019-11-13,476,370,106,0.155675693240359,0.1539322803903167,0.23419770753344846,0.7773109243697479,0.22268907563025211
2019-11-14,476,373,103,0.15122188806933795,0.14879897000582615,0.2286735316673794,0.7836134453781513,0.21638655462184875
2019-11-15,476,380,96,0.16279918585971714,0.16156484858413955,0.2286494780033735,0.7983193277310925,0.20168067226890757
2019-11-18,476,370,106,0.15030410971385855,0.15015713181043422,0.22481396878269697,0.7773109243697479,0.22268907563025211
2019-11-19,476,376,100,0.15338815977436424,0.15210231446306574,0.2239154279732875,0.7899159663865546,0.21008403361344538
2019-11-20,476,386,90,0.16910705608550428,0.168281909278535,0.22413103743346952,0.8109243697478992,0.18907563025210083
2019-11-21,476,396,80,0.18955614812325278,0.19112884448296658,0.2224067574557035,0.8319327731092437,0.16806722689075632
2019-11-22,476,393,83,0.18634673496704263,0.1922944756191764,0.22531036423922934,0.8256302521008403,0.17436974789915966
2019-11-25,476,395,81,0.1927090251380544,0.19235364811629735,0.22467044845623052,0.8298319327731093,0.17016806722689076
2019-11-26,476,392,84,0.1796797485046198,0.17908183063145383,0.22288607686124834,0.8235294117647058,0.17647058823529413
2019-11-27,476,391,85,0.18305435831771544,0.18179719334282515,0.22183728322724083,0.8214285714285714,0.17857142857142858
2019-11-29,476,376,100,0.16140390441949726,0.16212568742268912,0.21808150086563488,0.7899159663865546,0.21008403361344538
2019-12-02,476,374,102,0.15778208306890062,0.15793001767660042,0.21837407757122407,0.7857142857142857,0.21428571428571427
2019-12-03,476,382,94,0.16279414425659078,0.16261237664692868,0.2181910416854896,0.8025210084033614,0.19747899159663865
2019-12-04,476,380,96,0.15278006893577514,0.1507442845840172,0.20869088774727618,0.7983193277310925,0.20168067226890757
2019-12-05,476,396,80,0.1911739123124992,0.18578830840903277,0.22068574998427842,0.8319327731092437,0.16806722689075632
2019-12-06,476,397,79,0.19209861795994373,0.18137733130505912,0.22300798355983692,0.8340336134453782,0.16596638655462184
2019-12-09,477,411,66,0.2217143958495541,0.2086351398662655,0.2317404266542488,0.8616352201257862,0.13836477987421383
2019-12-10,477,414,63,0.22534148881469732,0.2083243870423854,0.23394057260338366,0.8679245283018868,0.1320754716981132
2019-12-11,477,411,66,0.22681660932651931,0.2130745337096633,0.23962082233777562,0.8616352201257862,0.13836477987421383
2019-12-12,477,406,71,0.22026026077934116,0.2073917283918627,0.23725584304301406,0.8511530398322851,0.1488469601677149
2019-12-13,477,408,69,0.22562423857904848,0.2142854983544773,0.24353038153841497,0.8553459119496856,0.14465408805031446
2019-12-16,477,417,60,0.246634365383409,0.234536528490928,0.24981705464300014,0.8742138364779874,0.12578616352201258
2019-12-17,477,430,47,0.2836735600263655,0.2703520648698667,0.2569666763544629,0.9014675052410901,0.09853249475890985
2019-12-18,477,430,47,0.28287211048233096,0.2714564638263594,0.2541030085533397,0.9014675052410901,0.09853249475890985
2019-12-19,477,434,43,0.3040693364320312,0.2924500619204015,0.26440861760967493,0.909853249475891,0.09014675052410902
2019-12-20,477,440,37,0.3214502861254251,0.2987573631588525,0.27149735580465995,0.9224318658280922,0.07756813417190776
2019-12-23,477,442,35,0.3401059217167859,0.3198525901456852,0.27453669208998865,0.9266247379454927,0.07337526205450734
2019-12-24,477,449,28,0.3796158719889197,0.3588894404323066,0.2744894477568007,0.9412997903563941,0.05870020964360587
2019-12-26,477,445,32,0.33177225200481303,0.3092633538875271,0.263522267622916,0.9329140461215933,0.06708595387840671
2019-12-27,477,443,34,0.3235322637273849,0.2995884151003902,0.2652831058832041,0.9287211740041929,0.07127882599580712
2019-12-30,477,444,33,0.3301162717176952,0.3060565897588221,0.2674276983467935,0.9308176100628931,0.06918238993710692
2019-12-31,477,439,38,0.31087300467248574,0.2894166176045258,0.26119781721305724,0.9203354297693921,0.07966457023060797
2020-01-02,477,439,38,0.30060301681835033,0.286981989012258,0.2529735162093129,0.9203354297693921,0.07966457023060797
2020-01-03,477,439,38,0.32148655450645786,0.2980050276106489,0.2681318704884437,0.9203354297693921,0.07966457023060797
2020-01-06,477,433,44,0.28661109743734703,0.2704130044638513,0.25574868459390554,0.9077568134171907,0.09224318658280922
2020-01-07,477,425,52,0.2761265662999035,0.2685924283302343,0.24722058289597001,0.8909853249475891,0.1090146750524109
