episode_id,start,end,observations,max_vix,mean_vix,max_zscore,mean_percentile
23,1996-12-11,1996-12-17,5,21.99,20.796,2.9133938691001444,0.9833333333333332
24,1996-12-31,1997-01-09,4,21.14,20.8025,2.4162970976566243,0.9751984126984127
25,1997-01-28,1997-01-28,1,20.74,20.74,2.0526939588295687,0.9682539682539684
26,1997-02-05,1997-02-10,2,21.06,20.854999999999997,2.1839647492630965,0.9682539682539681
27,1997-02-19,1997-03-03,6,21.41,20.971666666666668,2.226962915952977,0.9685846560846562
28,1997-03-17,1997-03-20,4,21.74,21.2925,2.120851199219971,0.9801587301587302
29,1997-03-31,1997-04-03,3,22.14,21.543333333333333,2.226858917621027,0.9801587301587302
30,1997-04-25,1997-04-28,2,21.34,21.244999999999997,1.6994544940508525,0.9682539682539683
31,1997-05-07,1997-05-08,2,21.34,21.3,1.6380799566712425,0.9682539682539681
32,1997-05-16,1997-05-19,2,21.57,21.525,1.6668472457094208,0.984126984126984
33,1997-06-25,1997-06-30,3,21.82,21.616666666666664,1.6104185414495658,0.9828042328042327
34,1997-07-18,1997-09-15,32,25.99,23.7853125,2.6797469191837195,0.9885292658730158
35,1997-10-27,1997-11-14,15,38.2,34.392,6.427545767670233,0.9923280423280423
36,1998-08-14,1998-09-21,17,45.29,39.381764705882354,4.252165921354416,0.9829598506069095
37,1998-09-30,1998-10-09,8,45.74,42.545,2.953014038496198,0.9811507936507936
38,2000-04-05,2000-04-17,5,33.49,29.845999999999997,4.216483121555212,0.9952380952380953
39,2000-05-02,2000-05-10,6,31.63,29.650000000000002,3.179449234018598,0.9808201058201059
40,2000-10-12,2000-10-18,3,30.51,29.02333333333333,2.673429564578059,0.9682539682539684
41,2000-10-26,2000-10-26,1,28.62,28.62,1.984867106010162,0.9603174603174603
42,2000-11-10,2000-11-13,2,29.06,28.795,2.019168291612285,0.9662698412698413
43,2000-11-30,2000-11-30,1,29.65,29.65,2.0583830598985213,0.98015873015873
44,2000-12-20,2000-12-21,2,31.74,30.7,2.561521144918819,0.9861111111111112
45,2001-01-02,2001-01-08,2,29.99,29.915,1.9377280502126808,0.976190476190476
46,2001-03-12,2001-03-23,8,32.84,30.725,2.410685690439659,0.9771825396825397
47,2001-04-02,2001-04-09,5,34.72,32.72,2.745809020853164,0.9865079365079366
48,2001-09-07,2001-10-18,20,43.74,36.071999999999996,4.868465658859227,0.9735119047619047
49,2002-07-15,2002-08-07,14,45.08,39.315714285714286,3.585922692675216,0.9743480725623581
50,2002-09-03,2002-09-03,1,39.97,39.97,2.1474508612547143,0.9642857142857144
51,2002-09-19,2002-10-09,9,42.64,40.53,2.342967507273958,0.9726631393298061
52,2005-10-12,2005-10-13,2,16.47,16.345,2.42943584456145,0.9702380952380951
53,2005-10-21,2005-10-21,1,16.13,16.13,2.167249600068912,0.9523809523809524
54,2006-05-17,2006-06-19,18,23.81,18.246666666666666,5.864144651263797,0.990079365079365
55,2006-07-13,2006-07-18,4,18.64,18.055,2.616361042045349,0.9682539682539684
56,2007-02-27,2007-03-05,3,19.63,18.849999999999998,2.828858197516329,0.9814814814814814
57,2007-03-13,2007-03-13,1,18.13,18.13,2.152889951348335,0.9603174603174603
58,2007-06-26,2007-06-26,1,18.89,18.89,3.028314359031577,0.996031746031746
59,2007-07-10,2007-07-10,1,17.57,17.57,2.3068019842020178,0.9642857142857144
60,2007-07-20,2007-09-17,31,30.83,24.28774193548387,5.057468539929161,0.9816308243727598
61,2007-11-07,2007-11-26,6,31.09,28.314999999999998,2.9341833675946134,0.9808201058201059
62,2008-01-17,2008-01-28,7,31.01,28.615714285714283,2.3605711525015987,0.9708049886621316
63,2008-02-05,2008-02-06,2,28.97,28.604999999999997,1.8251856897069016,0.9642857142857143
64,2008-03-10,2008-03-19,4,32.24,30.655,2.1755237627789805,0.9880952380952381
65,2008-09-15,2008-11-21,43,80.86,55.57976744186047,6.632213441291404,0.9863418235511259
66,2008-12-01,2008-12-01,1,68.51,68.51,2.482176057620561,0.9563492063492064
