month,valid_industries,formation_return_mean,formation_return_std,formation_return_spread_p90_p10,top_decile_count,bottom_decile_count
1997-06-30,49,0.11637930484365,0.1482873639901185,0.3311082765815045,5,5
1997-07-31,49,0.20099558004929324,0.13314627654378716,0.34154663704611854,5,5
1997-08-31,49,0.32571244303301233,0.14188273789867717,0.3498502205733273,5,5
1997-09-30,49,0.3720222768220127,0.1906726245845183,0.4553921491210686,5,5
1997-10-31,49,0.26957999404954636,0.14156353854846476,0.355058814715251,5,5
1997-11-30,49,0.3297806555268452,0.13796069097823646,0.34545303402657357,5,5
1997-12-31,49,0.19676613393458314,0.1337291061156285,0.27780189976101366,5,5
1998-01-31,49,0.22693377316947524,0.16716532195276515,0.3548996767468825,5,5
1998-02-28,49,0.1924996176097218,0.17887075951489223,0.4008182201315765,5,5
1998-03-31,49,0.18116191843291993,0.18479714918973186,0.42267539291542816,5,5
1998-04-30,49,0.3258610943860802,0.20900648777138994,0.4702357248166824,5,5
1998-05-31,49,0.34186796505286515,0.1958535373621091,0.4430435054458619,5,5
1998-06-30,49,0.26693976507959555,0.186427157789508,0.41072374886276475,5,5
1998-07-31,49,0.18175225759845898,0.18598190317433919,0.47660438444568565,5,5
1998-08-31,49,0.12237416495307046,0.20202922589822234,0.5153443354018735,5,5
1998-09-30,49,0.10785784373448676,0.2191472817941642,0.5328043224138541,5,5
1998-10-31,49,-0.11905333210883753,0.18285063405834884,0.45176268109162265,5,5
1998-11-30,49,-0.03624875669785756,0.18367614098402868,0.49041237970834584,5,5
1998-12-31,49,0.02173457566655403,0.16790116537792024,0.4398264619385962,5,5
1999-01-31,49,0.060301662117382686,0.18347085022116902,0.4471773660783688,5,5
1999-02-28,49,0.10395347028067257,0.22121875366339946,0.5315325405093378,5,5
1999-03-31,49,0.04619688488024025,0.2551129328620471,0.6213115076148593,5,5
1999-04-30,49,-0.03840157981066913,0.22658450049718737,0.6090885016097383,5,5
1999-05-31,49,-0.01607093341746615,0.26427293259946705,0.6041927740511693,5,5
1999-06-30,49,0.1005503324707711,0.2790645573192386,0.6083276223493597,5,5
1999-07-31,49,0.06473013771732737,0.23353152703762614,0.5340571085434549,5,5
1999-08-31,49,0.13891090988395952,0.2066744614168026,0.4649239270422463,5,5
1999-09-30,49,0.31618603634033354,0.26545807399226173,0.6693188570080002,5,5
1999-10-31,49,0.22481143311745208,0.2641924898877766,0.5914383497368775,5,5
1999-11-30,49,0.0862175433889447,0.24764804517161246,0.5728469200200016,5,5
1999-12-31,49,0.05298646739482241,0.26761931097383157,0.7111584002785817,5,5
2000-01-31,49,0.026501275180969883,0.23809679446718854,0.5800083425892009,5,5
2000-02-29,49,0.06644576040445137,0.2586628226774483,0.6667696876259062,5,5
2000-03-31,49,0.0744185756442213,0.3127349635529418,0.7469138699578374,5,5
2000-04-30,49,0.03662795258932035,0.37316503072246426,0.7808739425320155,5,5
2000-05-31,49,0.01541873901112516,0.3504553887769472,0.6806643309612443,5,5
2000-06-30,49,0.023313031063926515,0.31873227615102523,0.7338239574002947,5,5
2000-07-31,49,-0.037854415736917266,0.23040942774351167,0.5724009257853271,5,5
2000-08-31,49,0.015669971281968294,0.28518383351785415,0.701984440965076,5,5
2000-09-30,49,0.04143753744861047,0.24213859094242304,0.6522692189327484,5,5
2000-10-31,49,0.16294443418225782,0.3245207702922911,0.8452098714242569,5,5
2000-11-30,49,0.10869639048696447,0.2614584656284312,0.6470385128626717,5,5
2000-12-31,49,0.10021974051953439,0.2443350983405065,0.5748695160153079,5,5
2001-01-31,49,0.018557418397935427,0.26838727599641493,0.6931297315616503,5,5
2001-02-28,49,0.11992689605936567,0.313713275732796,0.6855107027256678,5,5
2001-03-31,49,0.1759792872200007,0.32538972910368613,0.7094507669256769,5,5
2001-04-30,49,0.0695457573452697,0.35863301890436483,0.6931682795899585,5,5
2001-05-31,49,0.025913879724114706,0.39251232161734684,0.6697375913805944,5,5
2001-06-30,49,0.10647332072124757,0.42276008980576646,0.6280715906761378,5,5
2001-07-31,49,0.12644985933505093,0.3601886367788502,0.7805093472695268,5,5
2001-08-31,49,0.09238029341041996,0.30608145174161294,0.694497568493537,5,5
2001-09-30,49,0.021311113771505658,0.278269414821103,0.7681689362543276,5,5
2001-10-31,49,0.019636290628253766,0.27922493275763927,0.6684148275778274,5,5
2001-11-30,49,-0.07938755382215068,0.2873497513215835,0.6840115546972786,5,5
2001-12-31,49,-0.029453241795196546,0.24332858314077854,0.609391883497296,5,5
2002-01-31,49,-0.038541252056975873,0.17646437276160357,0.4208282198233168,5,5
2002-02-28,49,-0.02406460248559667,0.19155519820380612,0.4353936106526025,5,5
2002-03-31,49,0.018065323783425655,0.17522624829225084,0.4819189371040672,5,5
2002-04-30,49,0.08638268036814657,0.20677993888075416,0.5290086758075212,5,5
2002-05-31,49,0.07632670724739052,0.2178611922834978,0.5108309448087208,5,5
2002-06-30,49,0.04425212756435729,0.232494034749153,0.5110887325939114,5,5
2002-07-31,49,0.05683860776579174,0.24003454248961317,0.5430572639845808,5,5
2002-08-31,49,0.013568883420892405,0.22967089163207643,0.5655080512218221,5,5
2002-09-30,49,-0.0744438126519855,0.18014817438382075,0.4071271873574122,5,5
2002-10-31,49,0.03686429732421515,0.17759088087563243,0.4511565578091449,5,5
2002-11-30,49,-0.07988763870853657,0.1876222020179525,0.47628387569865316,5,5
2002-12-31,49,-0.10250305685077137,0.1823618393767164,0.44114757654868664,5,5
2003-01-31,49,-0.09254137510233125,0.14265550629978738,0.3422978617797871,5,5
2003-02-28,49,-0.1275317350796216,0.1532710804046605,0.3487737223311001,5,5
2003-03-31,49,-0.17337027819776513,0.12289927619956445,0.2271350521173619,5,5
2003-04-30,49,-0.23580256029192392,0.10826047215072643,0.24694183896185395,5,5
2003-05-31,49,-0.22569336844433338,0.1117028449897746,0.2688453001635236,5,5
2003-06-30,49,-0.16430097743116195,0.11309463118937377,0.27694237726741994,5,5
2003-07-31,49,-0.052057655550266826,0.12850553728972722,0.29187664769345056,5,5
2003-08-31,49,0.07903465968574343,0.15041217863018444,0.3042364299249601,5,5
2003-09-30,49,0.10230996428324199,0.13670970816035927,0.4047589708371414,5,5
2003-10-31,49,0.25967799135411274,0.201330442520562,0.4958119048799081,5,5
