year,ism_state,observations,unique_industries,mean_ism_score,mean_formation_return_12_1,median_formation_return_12_1
1942,MIDDLE,396,42,0.5,-0.056773339171072766,-0.06216435438345355
1942,TOP_DECILE,60,13,0.9523809523809524,0.19656508615068932,0.17436266033693576
1943,BOTTOM_DECILE,60,16,0.048006194347657745,0.20233611083706254,0.21867455817598608
1943,MIDDLE,392,42,0.5,0.4692151252492094,0.45334345061385084
1943,TOP_DECILE,60,12,0.9519938056523425,1.1479888100672213,1.026912315889439
1944,BOTTOM_DECILE,60,13,0.04878048780487803,0.010883819421588033,0.03001629221228325
1944,MIDDLE,384,40,0.5,0.18805160572012192,0.18103676849421346
1944,TOP_DECILE,60,16,0.951219512195122,0.5338999129950803,0.4498594978719578
1945,BOTTOM_DECILE,60,14,0.048199767711962806,0.13445556815658566,0.1303813549500861
1945,MIDDLE,390,42,0.5,0.2804772085946209,0.27211074077477193
1945,TOP_DECILE,60,12,0.9518002322880373,0.5875201727956124,0.5586848503409976
1946,BOTTOM_DECILE,60,14,0.0476190476190476,0.08970914630321994,0.1600077540191521
1946,MIDDLE,396,43,0.5,0.3256908186550382,0.34534342419146125
1946,TOP_DECILE,60,11,0.9523809523809524,0.8567006212011089,0.9195028055929958
1947,BOTTOM_DECILE,60,12,0.047619047619047596,-0.312997061751113,-0.3199587568762162
1947,MIDDLE,396,42,0.5,-0.10493713490873496,-0.1033969077532235
1947,TOP_DECILE,60,17,0.9523809523809524,0.08522157994283165,0.07485715884535754
1948,BOTTOM_DECILE,60,15,0.047619047619047596,-0.13194049430892213,-0.1350898085417067
1948,MIDDLE,396,42,0.5,0.040518251639812576,0.03342715881818585
1948,TOP_DECILE,60,13,0.9523809523809522,0.2907141609462627,0.2551654270896227
1949,BOTTOM_DECILE,60,12,0.04761904761904759,-0.16311318522891582,-0.16226661443891988
1949,MIDDLE,396,41,0.49999999999999994,0.009329895705675311,0.0021281882660484997
1949,TOP_DECILE,60,15,0.9523809523809526,0.17640311203349554,0.16849635831478135
1950,BOTTOM_DECILE,60,16,0.04761904761904759,0.06579959840828326,0.059534856043278545
1950,MIDDLE,396,43,0.5,0.25564184908946697,0.24121223937076905
1950,TOP_DECILE,60,17,0.9523809523809523,0.5311984520623654,0.5295764710092914
1951,BOTTOM_DECILE,60,16,0.04761904761904759,0.01430132874579263,0.026071583253850998
1951,MIDDLE,396,42,0.5,0.2369076441523824,0.23077101050877974
1951,TOP_DECILE,60,17,0.9523809523809524,0.47651859160123305,0.4709175267861089
1952,BOTTOM_DECILE,60,13,0.04761904761904759,-0.09576569734696999,-0.09255053818495895
1952,MIDDLE,396,42,0.5,0.08006028573347683,0.0690916213594773
1952,TOP_DECILE,60,16,0.9523809523809524,0.2849405070605216,0.2888297110705415
1953,BOTTOM_DECILE,60,12,0.047619047619047596,-0.10642411483046504,-0.10600843421218595
1953,MIDDLE,396,43,0.5,0.06421212619399677,0.06177306399253605
1953,TOP_DECILE,60,14,0.9523809523809526,0.26098590656249054,0.2728946943114259
1954,BOTTOM_DECILE,60,14,0.047619047619047596,-0.024557940498633666,-0.04352589488329075
1954,MIDDLE,396,43,0.49999999999999994,0.19382894448480684,0.17724570513884447
1954,TOP_DECILE,60,14,0.9523809523809524,0.4893598742498579,0.49787953847029975
1955,BOTTOM_DECILE,60,16,0.04761904761904759,0.1398388241849873,0.15762360341838055
1955,MIDDLE,396,42,0.5,0.33395061966291595,0.3137976325531593
1955,TOP_DECILE,60,12,0.9523809523809524,0.7221848860085281,0.7202932266778612
1956,BOTTOM_DECILE,60,16,0.0476190476190476,-0.03970884976046402,-0.0333138729738751
1956,MIDDLE,396,42,0.5,0.123986053912436,0.1061804153682438
1956,TOP_DECILE,60,13,0.9523809523809524,0.4204923459611718,0.4132139349843753
1957,BOTTOM_DECILE,60,13,0.0476190476190476,-0.13856708340416335,-0.12482197825252696
1957,MIDDLE,396,42,0.5,0.044415811748102905,0.03482431238748625
1957,TOP_DECILE,60,15,0.9523809523809524,0.28519058949083315,0.2742684023347478
1958,BOTTOM_DECILE,60,15,0.047619047619047596,-0.0923282029945631,-0.15046617062810985
1958,MIDDLE,396,42,0.5,0.08614041587029204,0.0512831061265928
1958,TOP_DECILE,60,17,0.9523809523809524,0.33287103765124065,0.29159158118977496
1959,BOTTOM_DECILE,60,16,0.04761904761904761,0.12545683620968023,0.13399156882198646
1959,MIDDLE,396,42,0.5,0.3607391499534106,0.3619883337627481
1959,TOP_DECILE,60,10,0.9523809523809524,0.6942285762196865,0.6642255035683321
1960,BOTTOM_DECILE,60,12,0.0476190476190476,-0.16240774535454724,-0.1700939336460297
1960,MIDDLE,396,42,0.5,0.04002868718525937,0.0465494438194836
1960,TOP_DECILE,60,14,0.9523809523809524,0.37493879157884863,0.31021225629789906
1961,BOTTOM_DECILE,60,11,0.047619047619047596,-0.051083913000529106,-0.04756651616683695
1961,MIDDLE,396,43,0.5,0.23271376223042153,0.23697141388073395
1961,TOP_DECILE,60,13,0.9523809523809523,0.569801385185155,0.55354501678221
1962,BOTTOM_DECILE,60,13,0.047619047619047596,-0.2894578123904918,-0.33959803357509416
1962,MIDDLE,396,42,0.5,-0.040740387944886845,-0.069388340055823
1962,TOP_DECILE,60,16,0.9523809523809526,0.15618733543710386,0.10784353590239196
1963,BOTTOM_DECILE,60,12,0.047619047619047596,-0.12886681717554685,-0.07121680430362985
1963,MIDDLE,396,42,0.5,0.09134155442645402,0.10865105276966674
1963,TOP_DECILE,60,13,0.9523809523809524,0.3040355465860999,0.35019688631330437
1964,BOTTOM_DECILE,60,14,0.0455486542443064,-0.07337857787591313,-0.06390899019101476
1964,MIDDLE,420,46,0.5,0.13235238554864528,0.1318136867775866
1964,TOP_DECILE,60,15,0.9544513457556936,0.35863490484185073,0.3299252023952254
1965,BOTTOM_DECILE,60,17,0.0434782608695652,-0.01331446172198053,-0.006109585956211449
1965,MIDDLE,444,47,0.5,0.1590227752086728,0.15923094685781608
1965,TOP_DECILE,60,15,0.9565217391304348,0.39375407612817614,0.385325446839918
1966,BOTTOM_DECILE,60,15,0.04301572617946344,-0.12492980784238926,-0.1019135745237201
1966,MIDDLE,450,48,0.5,0.12580856933664053,0.1130966790509842
1966,TOP_DECILE,60,13,0.9569842738205366,0.5061474980287998,0.5033765947013983
1967,BOTTOM_DECILE,60,16,0.04255319148936169,-0.0987069074444496,-0.0814404060593244
1967,MIDDLE,456,48,0.5,0.1926907384645885,0.14695374817277715
1967,TOP_DECILE,60,18,0.9574468085106383,0.573733151180753,0.46202926432754954
1968,BOTTOM_DECILE,60,13,0.04255319148936168,-0.08714405095634452,-0.08266867299283656
1968,MIDDLE,456,47,0.5,0.2052696283571301,0.17595658734869354
1968,TOP_DECILE,60,12,0.9574468085106385,0.720767362646087,0.6978955747899405
1969,BOTTOM_DECILE,60,13,0.04255319148936169,-0.218032536230774,-0.23870151996438135
1969,MIDDLE,456,45,0.5,0.058063323701077925,0.047344424949104805
1969,TOP_DECILE,60,16,0.9574468085106385,0.38524848524614747,0.3394274540838769
1970,BOTTOM_DECILE,60,10,0.042109929078014155,-0.5067043033799846,-0.477663312923746
1970,MIDDLE,462,47,0.5,-0.18542118542870054,-0.17947405163868657
1970,TOP_DECILE,60,13,0.9578900709219859,0.11857555878896762,0.09565908736645884
1971,BOTTOM_DECILE,60,13,0.04166666666666664,-0.1330616816826958,-0.0596543924836654
1971,MIDDLE,468,49,0.5,0.21947340669369172,0.21765358264666101
1971,TOP_DECILE,60,20,0.9583333333333333,0.5427697448849654,0.5282691786334542
1972,BOTTOM_DECILE,60,14,0.04166666666666665,-0.16728363040319127,-0.13119285354344615
1972,MIDDLE,468,47,0.5,0.1145378743297931,0.10034557347700096
1972,TOP_DECILE,60,10,0.9583333333333334,0.3615962138511502,0.35580505833041287
1973,BOTTOM_DECILE,60,7,0.04166666666666665,-0.45626080032832333,-0.44046364978574337
1973,MIDDLE,468,45,0.5,-0.0737443348304734,-0.07035435855568559
1973,TOP_DECILE,60,16,0.9583333333333334,0.20061793124955116,0.20514478846150824
1974,BOTTOM_DECILE,60,11,0.041666666666666644,-0.4557246905802152,-0.44716636062065124
1974,MIDDLE,468,47,0.5,-0.2047680523652172,-0.1972859826559023
1974,TOP_DECILE,60,12,0.9583333333333334,0.22153280646490503,0.24001091866370333
1975,BOTTOM_DECILE,60,17,0.041666666666666644,-0.14445739275732666,-0.12757613716557253
1975,MIDDLE,468,49,0.5,0.09231801271817004,0.10483629000076006
1975,TOP_DECILE,60,14,0.9583333333333333,0.5586234600707319,0.5003661939562152
1976,BOTTOM_DECILE,60,16,0.041666666666666644,-0.02157818235521495,-0.011307665795379548
1976,MIDDLE,468,49,0.5,0.2403688508981144,0.22541617360135918
1976,TOP_DECILE,60,15,0.9583333333333333,0.5495663329262884,0.47973130569259304
1977,BOTTOM_DECILE,60,12,0.041666666666666644,-0.17947845397698722,-0.1787047304195649
1977,MIDDLE,468,49,0.5,0.059633132405897626,0.06565316809823625
1977,TOP_DECILE,60,16,0.9583333333333334,0.2757259121795169,0.2621939068796581
1978,BOTTOM_DECILE,60,12,0.041666666666666644,-0.09442596005075783,-0.0715106407056155
1978,MIDDLE,468,48,0.5,0.11676916083580255,0.0933764066432066
1978,TOP_DECILE,60,11,0.9583333333333333,0.46217690427643743,0.40694763057672484
1979,BOTTOM_DECILE,60,19,0.041666666666666644,-0.009023018431345264,-0.01464443379360675
1979,MIDDLE,468,49,0.5,0.14321719798211824,0.12864831220309325
1979,TOP_DECILE,60,14,0.9583333333333333,0.4049827368226794,0.3615169399349639
1980,BOTTOM_DECILE,60,12,0.04166666666666665,-0.023691603828292346,-0.0286868961782338
1980,MIDDLE,468,47,0.5,0.21045648122450117,0.18889743671559694
1980,TOP_DECILE,60,7,0.9583333333333333,0.7849993639044579,0.6810728505234427
1981,BOTTOM_DECILE,60,17,0.04166666666666664,0.001263280957817485,0.044775599540291144
1981,MIDDLE,468,49,0.5,0.24619429144120708,0.2331764528097082
1981,TOP_DECILE,60,19,0.9583333333333334,0.6031128586821655,0.596990439402535
1982,BOTTOM_DECILE,60,11,0.04166666666666665,-0.34077142556079154,-0.3320074374549929
1982,MIDDLE,468,49,0.5,-0.021786467350489596,-0.021690209992385898
1982,TOP_DECILE,60,16,0.9583333333333334,0.20831222650462536,0.18896926732914937
1983,BOTTOM_DECILE,60,16,0.04166666666666665,0.06652576479094209,0.09054972666086081
1983,MIDDLE,468,49,0.5,0.47955517806423564,0.44670168652584763
1983,TOP_DECILE,60,17,0.9583333333333334,0.867123104185122,0.7918641235496209
1984,BOTTOM_DECILE,60,15,0.041666666666666644,-0.210843379694989,-0.2169578599668072
1984,MIDDLE,468,48,0.5,0.007998443698909062,-0.01049357282793505
1984,TOP_DECILE,60,16,0.9583333333333331,0.2276828025292745,0.19046653789812346
1985,BOTTOM_DECILE,60,12,0.041666666666666644,-0.0912705076631184,-0.052419368010873046
1985,MIDDLE,468,49,0.5,0.1684801196429558,0.17719575906401597
1985,TOP_DECILE,60,16,0.9583333333333333,0.4141280818746745,0.4320579274767187
1986,BOTTOM_DECILE,60,12,0.041666666666666644,-0.029950594121119483,-0.026268496818097897
1986,MIDDLE,468,49,0.49999999999999994,0.29334783921427254,0.2872817932801536
1986,TOP_DECILE,60,16,0.9583333333333334,0.5844018578932278,0.574263697242888
1987,BOTTOM_DECILE,60,14,0.041666666666666644,-0.03772674689689528,-0.0306825607010692
1987,MIDDLE,468,49,0.5,0.206291588526387,0.18922337778778595
1987,TOP_DECILE,60,17,0.9583333333333334,0.5668764208039526,0.5227191828246367
1988,BOTTOM_DECILE,60,18,0.041666666666666644,-0.1994176024432165,-0.23889266582286764
1988,MIDDLE,468,49,0.5,-0.049479491982959506,-0.0891451841105816
1988,TOP_DECILE,60,16,0.9583333333333334,0.14396608637341418,0.07706821522796795
1989,BOTTOM_DECILE,60,11,0.041666666666666644,-0.01282214581950005,-0.0059051612954641
1989,MIDDLE,468,49,0.5,0.2046495937846726,0.18714215921357324
1989,TOP_DECILE,60,15,0.9583333333333334,0.4757328754431718,0.4458408563449635
1990,BOTTOM_DECILE,60,13,0.04166666666666664,-0.21420037301069708,-0.19533897322814636
1990,MIDDLE,468,47,0.5,0.04369566608742912,0.04560130918468015
1990,TOP_DECILE,60,16,0.9583333333333334,0.2859632323341665,0.2760493763141308
1991,BOTTOM_DECILE,60,14,0.04166666666666665,-0.13489451544099992,-0.14907456948692033
1991,MIDDLE,468,49,0.5,0.13787894742922127,0.1098348303060353
1991,TOP_DECILE,60,13,0.9583333333333334,0.4903120675001699,0.4546224689187371
1992,BOTTOM_DECILE,60,15,0.04166666666666665,-0.09530737203826355,-0.08900676532880741
1992,MIDDLE,468,49,0.5,0.14599206592994424,0.1334393165609252
1992,TOP_DECILE,60,17,0.9583333333333333,0.4275786343979292,0.40540124341631556
1993,BOTTOM_DECILE,60,13,0.041666666666666644,-0.16006616581870803,-0.15492705047752436
1993,MIDDLE,468,49,0.5,0.12132998841434717,0.11896272979408895
1993,TOP_DECILE,60,14,0.9583333333333334,0.3934491785062022,0.3827801996625201
1994,BOTTOM_DECILE,60,17,0.041666666666666644,-0.11140457035162642,-0.100299992177819
1994,MIDDLE,468,49,0.5,0.07409028678052432,0.0700960164180143
1994,TOP_DECILE,60,17,0.9583333333333333,0.2937669952182273,0.2683393713465046
1995,BOTTOM_DECILE,60,13,0.041666666666666644,-0.08976224693242546,-0.08505037940036986
1995,MIDDLE,468,48,0.49999999999999994,0.11394701335463248,0.10886825574109114
1995,TOP_DECILE,60,9,0.9583333333333334,0.38401854544544584,0.41702282209397623
1996,BOTTOM_DECILE,60,14,0.041666666666666644,0.02171716632849714,0.01169194269392745
1996,MIDDLE,468,49,0.5000000000000001,0.23162611715734363,0.22284505791323345
1996,TOP_DECILE,60,16,0.9583333333333335,0.4472418882926001,0.4376856260983858
1997,BOTTOM_DECILE,60,16,0.041666666666666644,0.0009438428460762996,0.009578598966018249
1997,MIDDLE,468,47,0.5,0.22293693523012842,0.2255491969630174
1997,TOP_DECILE,60,16,0.9583333333333333,0.4933687781626352,0.5063098143717278
1998,BOTTOM_DECILE,60,15,0.04166666666666665,-0.18751310309485997,-0.1960636730776607
1998,MIDDLE,468,49,0.5,0.15406495830682246,0.17193221675653145
1998,TOP_DECILE,60,15,0.9583333333333334,0.46697915258414663,0.45888754849824615
1999,BOTTOM_DECILE,60,11,0.04166666666666665,-0.26722935964137284,-0.2682041095310242
1999,MIDDLE,468,47,0.5,0.07569488381845729,0.0628411777303553
1999,TOP_DECILE,60,9,0.9583333333333333,0.6081133634211524,0.5607104288021977
2000,BOTTOM_DECILE,60,16,0.041666666666666644,-0.3094739513274794,-0.3025443321306912
2000,MIDDLE,468,49,0.5,0.019162787912497,-0.014070451863116649
