asset_id,symbol,exchange,status,tradable,security_type_assessment,security_type_reason
d6221f34-dbd7-4ac1-8c92-4cb513b53ac2,WBUY,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
fe479de8-966d-4da8-858d-03d93496fe30,WCBR,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
bbad7e54-960a-4534-8ebe-5a8fcf12012a,WCEO,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
36671a71-d3a3-499c-a464-5d4b4701e367,WCLD,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
a9eeca06-96ba-4d32-9b7b-8c0b492cab31,WCME,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
e8689127-cf1a-4022-8dd7-dc96ba4fee92,WCMG,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
d1707cb1-3218-4420-81f4-89081726bf93,WCPB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
22b1385a-d718-4db2-ab07-f097cfc78091,WCT,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
521f4a54-d8a9-4761-91bd-29336a5e4001,WDAF,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
33e72a27-1710-440f-9a8f-16c47dc48a75,WDAI,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
245dcd0f-d6e9-4d33-a2ec-51b3ac902901,WDCC,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
75e8c467-c840-4681-91dc-564975535608,WDCX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
20b08101-21ed-4432-8b45-bb97665192e1,WDE,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
2ba415bf-15be-47e4-8178-3cb88477a1e6,WDEF,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
547b3242-22f0-4f4a-ab0b-803a656be67c,WDGF,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
d753951e-e55c-4986-b86a-8915a37e5977,WDH,NYSE,active,True,EXCLUDED_NON_COMMON,name contains RIGHT
e1ceca0b-6f79-452a-9d4b-4f2d8fa76e0e,WDIG,BATS,active,True,EXCLUDED_NON_COMMON,name contains FUND
9cd909bf-eeb8-4b61-838c-f28e99a8ad8f,WDNA,BATS,active,True,EXCLUDED_NON_COMMON,name contains FUND
9e15abef-aefd-48e3-afe7-9cf0d69fe79e,WDRN,BATS,active,True,EXCLUDED_NON_COMMON,name contains FUND
4d3605c4-34d3-48b9-98d1-8eff3f3e403e,WEA,NYSE,active,True,EXCLUDED_NON_COMMON,name contains FUND
9f9fc634-c699-41de-acfd-6af1e0f63c05,WEBS,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
0db01fae-4251-41eb-b6b8-76992419ab88,WEBX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
fcc56d48-9d19-4de8-a82e-1b46bfd816cf,WEED,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
d0de8b8c-c42b-43f8-8aa1-b0ff13961c05,WEEI,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
3e6e77a8-1639-4393-9b32-3342ad9269fa,WEEK,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
8f26e0bb-b436-4e74-ac15-89fd3880def1,WEEL,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
1fc6bf5d-e4f4-427f-aa4c-038d1540cf04,WENC,NYSE,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
c5fb8904-bada-490f-a0ae-2c3e83eccd74,WENC.RT,NYSE,active,True,EXCLUDED_SYMBOL_PATTERN,symbol not simple 1-5 uppercase letters
73c529e4-5f03-4a7a-b9b4-d2df231fb507,WENC.U,NYSE,active,True,EXCLUDED_SYMBOL_PATTERN,symbol not simple 1-5 uppercase letters
eb6e1cb4-47e2-47de-ba9e-799e28b387a2,WELD,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
f8691afd-d756-462f-a70a-6cd78c99db15,WEN,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
d093cb6f-22ba-44d3-a42d-fa9592f1e3f1,WEPN,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
9bed67f0-3fdb-4cd5-bef7-f35c615660f1,WFC.PRY,NYSE,active,True,EXCLUDED_SYMBOL_PATTERN,symbol not simple 1-5 uppercase letters
61631bc0-c781-4fc5-b253-b0b2cb0aa7d0,WGMI,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
