symbol,first_bar,last_bar,expected_trading_days,observed_bars,coverage_pct,zero_or_missing_volume_count,missing_bar_count,usable_for_csm_start_date,usable_observations
ABVC,2021-08-03,2026-08-11,1407,1224,0.8699360341151386,385,183,2022-08-03,1022
ABVX,2023-10-20,2026-08-11,1407,703,0.4996446339729922,710,704,2024-10-22,697
ABX,2021-01-04,2026-08-11,1407,1197,0.8507462686567164,452,210,2022-01-03,955
ABXL,2023-12-15,2026-08-11,1407,654,0.464818763326226,1239,753,2024-12-19,168
ACA,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ACAA,2026-04-14,2026-08-11,1407,83,0.058990760483297794,1400,1324,,7
ACAAU,2026-02-19,2026-08-11,1407,120,0.08528784648187633,1386,1287,,21
ACAAW,2026-04-23,2026-08-11,1407,76,0.05401563610518834,1396,1331,,11
ACAD,2021-01-04,2026-08-11,1407,1406,0.9992892679459844,1,1,2022-01-03,1406
ACB,2021-01-04,2026-08-11,1407,1406,0.9992892679459844,1,1,2022-01-03,1406
ACCL,2025-10-17,2026-08-11,1407,204,0.14498933901918976,1304,1203,,103
ACCO,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ACCS,2021-01-04,2026-08-11,1407,1297,0.92181947405828,607,110,2022-01-03,800
ACDC,2022-05-13,2026-08-11,1407,1064,0.7562189054726368,343,343,2023-05-16,1064
ACEL,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ACEP,2025-11-28,2026-08-11,1407,175,0.12437810945273632,1377,1232,,30
ACET,2021-01-04,2026-08-11,1407,1406,0.9992892679459844,4,1,2022-01-03,1403
ACFN,2025-07-24,2026-08-11,1407,264,0.18763326226012794,1285,1143,2026-07-27,122
ACGC,2026-05-28,2026-08-11,1407,52,0.03695806680881308,1394,1355,,13
ACGCU,2026-04-07,2026-08-11,1407,88,0.06254442075337598,1394,1319,,13
ACGCW,2026-06-03,2026-08-11,1407,48,0.03411513859275053,1403,1359,,4
ACGL,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
ACGLN,2021-06-15,2026-08-11,1407,1281,0.9104477611940298,205,126,2022-06-14,1202
ACGLO,2021-01-11,2026-08-11,1407,1292,0.9182658137882018,416,115,2022-01-10,991
ACH,2021-01-04,2026-08-11,1407,1404,0.997867803837953,3,3,2022-01-03,1404
ACHC,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
ACHR,2021-01-04,2026-08-11,1407,1404,0.997867803837953,3,3,2022-01-03,1404
ACHR.WS,2021-09-17,2026-08-11,1407,1118,0.7945984363894811,1009,289,2022-10-20,398
ACHV,2021-01-04,2026-08-11,1407,1397,0.9928926794598436,54,10,2022-01-03,1353
ACI,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ACIC,2021-01-04,2026-08-11,1407,1401,0.9957356076759062,43,6,2022-01-03,1364
ACIU,2021-01-04,2026-08-11,1407,1406,0.9992892679459844,40,1,2022-01-03,1367
ACIW,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
ACLO,2025-01-22,2026-08-11,1407,390,0.2771855010660981,1388,1017,2026-03-02,19
ACLS,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
