symbol,latest_bar_session,freshness_state,eligibility_state,return_12_1,csm_rank,csm_candidate,tsm001_state,tsm_approved,target_weight
AHCO,2026-08-25,FRESH,ELIGIBLE,0.14218750000000013,0.5201612903225806,False,POSITIVE,True,0.0
AI,2026-08-25,FRESH,ELIGIBLE,-0.4962878355225586,0.06048387096774194,False,NEGATIVE,False,0.0
AIG,2026-08-25,FRESH,ELIGIBLE,-0.028538112188535747,0.3346774193548387,False,NEGATIVE,False,0.0
AIN,2026-08-25,FRESH,ELIGIBLE,0.191599811231713,0.5604838709677419,False,POSITIVE,True,0.0
AIR,2026-08-25,FRESH,ELIGIBLE,0.8060154343381043,0.8870967741935484,False,POSITIVE,True,0.0
AIT,2026-08-25,FRESH,ELIGIBLE,0.3139398966856455,0.6733870967741935,False,POSITIVE,True,0.0
AIV,2026-08-25,FRESH,ELIGIBLE,-0.096863150637711,0.2862903225806452,False,NEGATIVE,False,0.0
AIZ,2026-08-25,FRESH,ELIGIBLE,0.3014900037721613,0.6532258064516129,False,POSITIVE,True,0.0
AJG,2026-08-25,FRESH,ELIGIBLE,-0.15484688771765953,0.24193548387096775,False,NEGATIVE,False,0.0
AKAM,2026-08-25,FRESH,ELIGIBLE,0.453678649658549,0.7741935483870968,False,POSITIVE,True,0.0
AKBA,2026-08-25,FRESH,ELIGIBLE,-0.596244131455399,0.04032258064516129,False,NEGATIVE,False,0.0
ALB,2026-08-25,FRESH,ELIGIBLE,0.4477258566978195,0.7661290322580645,False,POSITIVE,True,0.0
ALC,2026-08-25,FRESH,ELIGIBLE,-0.1765785609397943,0.21370967741935484,False,NEGATIVE,False,0.0
ALDX,2026-08-25,FRESH,ELIGIBLE,-0.7295434969853574,0.016129032258064516,False,NEGATIVE,False,0.0
ALEC,2026-08-25,FRESH,ELIGIBLE,-0.39562624254473167,0.10080645161290322,False,NEGATIVE,False,0.0
ALGM,2026-08-25,FRESH,ELIGIBLE,0.45887850467289715,0.7782258064516129,False,POSITIVE,True,0.0
ALGN,2026-08-25,FRESH,ELIGIBLE,0.12378786865511926,0.49193548387096775,False,POSITIVE,True,0.0
ALGT,2026-08-25,FRESH,ELIGIBLE,0.6356435643564358,0.8346774193548387,False,POSITIVE,True,0.0
ALIT,2026-08-25,FRESH,ELIGIBLE,-0.737396639103761,0.008064516129032258,False,NEGATIVE,False,0.0
ALK,2026-08-25,FRESH,ELIGIBLE,-0.20194892473118287,0.1814516129032258,False,NEGATIVE,False,0.0
ALKS,2026-08-25,FRESH,ELIGIBLE,0.7704201680672269,0.8790322580645161,False,POSITIVE,True,0.0
ALL,2026-08-25,FRESH,ELIGIBLE,0.29757630161579884,0.6451612903225806,False,POSITIVE,True,0.0
ALLE,2026-08-25,FRESH,ELIGIBLE,-0.07193126502844405,0.29435483870967744,False,NEGATIVE,False,0.0
ALLO,2026-08-25,FRESH,ELIGIBLE,0.4644351464435146,0.782258064516129,False,POSITIVE,True,0.0
ALLY,2026-08-25,FRESH,ELIGIBLE,0.09961977186311777,0.4596774193548387,False,POSITIVE,True,0.0
