,CSM-001
2023-03-30,-0.003600032527006154
2023-03-31,0.021632033804673576
2023-04-03,-0.0002047595998881939
2023-04-04,-0.028994183751689107
2023-04-05,-0.013027028449742685
2023-04-06,0.010365971900255996
2023-04-10,0.0152933286650225
2023-04-11,0.014410496068902084
2023-04-12,0.0019257485005897655
2023-04-13,0.018269961272396076
2023-04-14,0.0015288738164056519
2023-04-17,0.009899717112367954
2023-04-18,0.006283979377009507
2023-04-19,0.0026766395903379085
2023-04-20,-0.004610453500703576
2023-04-21,0.005276297049646956
2023-04-24,-0.00900106617665733
2023-04-25,-0.033422467425859734
2023-04-26,-0.010622351484498891
2023-04-27,0.010013176333345628
2023-04-28,0.011661940146827025
2023-05-01,0.0039555891937533925
2023-05-02,-0.01838246462789174
2023-05-03,0.015290182732310933
2023-05-04,-0.012806588574503602
2023-05-05,0.032149525916526506
2023-05-08,0.0037737457099453714
2023-05-09,0.0018843495516240472
2023-05-10,0.011519144034462966
2023-05-11,0.002149415375315754
2023-05-12,0.0050219434507122514
2023-05-15,0.025998682281748654
2023-05-16,-0.010843786414388124
2023-05-17,0.014733858650167526
2023-05-18,-0.0004887204598434552
2023-05-19,-0.006448272986923742
2023-05-22,0.021215506434466527
2023-05-23,-0.01975400083607324
2023-05-24,-0.011580877456469053
2023-05-25,-0.022012083518813622
2023-05-26,0.031681851196340906
2023-05-30,0.0029663941535802065
2023-05-31,0.0015082492224038585
2023-06-01,0.01310289836372454
2023-06-02,0.016901079665739303
2023-06-05,-0.0023534817000239678
2023-06-06,0.012030101076331774
2023-06-07,0.004578153966430265
2023-06-08,0.0022234146506568703
2023-06-09,-0.01084304367881554
2023-06-12,0.012737062196034434
2023-06-13,0.0053431713438402495
2023-06-14,-0.008232757499305014
2023-06-15,-0.0027059775813008755
2023-06-16,-0.01086965038405662
2023-06-20,0.007059790694378836
2023-06-21,-0.009663204425236748
2023-06-22,-0.005925620617735192
2023-06-23,-0.025075925996360354
2023-06-26,-0.0024355613440147205
2023-06-27,0.007867870101119907
2023-06-28,0.006342117970225764
2023-06-29,0.005020697628768639
2023-06-30,0.013526347826341186
2023-07-03,-0.0035567639183736116
2023-07-05,-0.014485968099593096
2023-07-06,-0.020801293364071643
2023-07-07,0.01452705789001479
2023-07-10,0.030724381892943218
2023-07-11,-0.0056224230562575426
2023-07-12,0.0081381246993424
2023-07-13,0.013260746280958293
2023-07-14,0.006504119899397183
2023-07-17,0.03190886685095397
2023-07-18,-0.0008880127301846264
2023-07-19,-0.0037659181786208642
2023-07-20,-0.020540597011400128
2023-07-21,-1.053053113548902e-05
2023-07-24,-0.006143737818373683
2023-07-25,0.013646796513120693
2023-07-26,0.0026129723304378107
2023-07-27,-0.00540431140128717
2023-07-28,0.025177587087825526
2023-07-31,0.015231373578592429
2023-08-01,0.011117075209023566
2023-08-02,-0.02450756179530056
2023-08-03,-0.016477518095756236
2023-08-04,0.01056293015570774
2023-08-07,-0.0001481110539888592
2023-08-08,-0.0005378630897367033
2023-08-09,-0.006083338843204436
2023-08-10,0.0026306827397067816
2023-08-11,-0.012608770123790825
2023-08-14,0.022358156883744824
2023-08-15,-0.014704793945794676
2023-08-16,-0.021321638828042656
2023-08-17,-0.0443741400058076
2023-08-18,0.013916103901191523
2023-08-21,0.01617362994937892
2023-08-22,-0.0035773107036869553
2023-08-23,0.02683924389174947
2023-08-24,-0.029245336047580783
2023-08-25,0.0018366395968428424
2023-08-28,0.017406091258354035
2023-08-29,0.03028849456203554
2023-08-30,0.005844403548342134
2023-08-31,-7.177699471602825e-05
2023-09-01,0.0010642936461769375
2023-09-05,-0.027172654525337205
2023-09-06,-8.217907392870337e-05
2023-09-07,-0.020185660033723622
2023-09-08,-0.006417149100975212
2023-09-11,0.004379355018115034
2023-09-12,-0.019440170113369102
2023-09-13,-0.023281249310068853
2023-09-14,0.01452686840966729
2023-09-15,-0.019557733796028702
2023-09-18,-0.006295813557042327
2023-09-19,-0.0014542738478872995
2023-09-20,-0.014805507204135777
2023-09-21,-0.03324449109617367
2023-09-22,0.008550598817197145
2023-09-25,-0.002208479927925433
2023-09-26,-0.00646390208256821
2023-09-27,0.021697317341418523
2023-09-28,0.00848354793037187
2023-09-29,-0.004575793747801735
