month,eligible_count,spearman_rsm_vs_raw_momentum,pearson_rsm_score_vs_raw_return_12_1
2020-05-31,466,0.3923861469176651,0.4336366393587365
2020-06-30,466,0.4712961005780665,0.47145588211789197
2020-07-31,466,0.45138433288143004,0.4543447179383091
2020-08-31,467,0.4242982833796263,0.40766576125304715
2020-09-30,468,0.5709938904671877,0.49114476742710256
2020-10-31,469,0.45695022665489493,0.38015975717928163
2020-11-30,470,0.41129887703564927,0.3699513182313837
2020-12-31,471,0.5103695553804775,0.46351806432938636
2021-01-31,471,0.3963589986241303,0.34884967061540817
2021-02-28,471,0.4698542129405252,0.4074813756165564
2021-03-31,472,0.5396178252654004,0.4541732905669349
2021-04-30,472,0.5053658660167677,0.47368012853637714
2021-05-31,473,0.44924802225112076,0.4482381510354402
2021-06-30,474,0.4831760644418873,0.48972787139660334
2021-07-31,474,0.40208272708962184,0.4142803848901504
2021-08-31,474,0.46555623946262753,0.44911343517375313
2021-09-30,474,0.49797843016565424,0.4831660630855909
2021-10-31,474,0.47190836834640193,0.45992789348726154
2021-11-30,474,0.5496767341856663,0.5250783680830658
2021-12-31,474,0.686358438982891,0.6595125799896159
2022-01-31,474,0.7353573727451609,0.7221138368604256
2022-02-28,475,0.6964320704964199,0.6932375881912239
2022-03-31,475,0.5991639187320499,0.6113890386320059
2022-04-30,475,0.7332992570779145,0.7187435319636348
2022-05-31,475,0.774852171381544,0.7693959796147323
2022-06-30,475,0.8004775527799395,0.7861711768844039
2022-07-31,475,0.6606589444571968,0.6862193774168948
